Field,Field Source,Available for Subsidiaries?,Description
Global Customer Sales Channel ID,Oro,Yes,The sales channel for the account…. See example to the right
Global Customer Segment Description,Oro,Yes,The business/market segment for the account… See example to the right
Global Customer Segment ID,Oro,Yes,The business/market segment for the account… See example to the right
Global Customer Sub Description,Oro,No,The lowest level of the global customer grouping
Global Customer Sub ID,Oro,No,The lowest level of the global customer grouping
Global Item Acquisition Entity Description,Catsy,Yes,"The entity that originally created the item (could be old companies, i.e. Oldcastle)"
Global Item Acquisition Entity ID,Catsy,Yes,"The entity that originally created the item (could be old companies, i.e. Oldcastle)"
Global Item Category Description,Catsy,Yes,The lowest item categorization (on a global scale)
Global Item Category ID,Catsy,Yes,The lowest item categorization (on a global scale)
Global Item Duct Attributes Description,JDE/ Sub ERP,Yes,"Differentiates whether the item is for Ducted, Ductless, Both, or Neither systems"
Global Item Duct Attributes ID,JDE/ Sub ERP,Yes,"Differentiates whether the item is for Ducted, Ductless, Both, or Neither systems"
Global Item Product Family Description,JDE/ Sub ERP,Yes,The highest item categorization (on a global scale). We currently have 6 PFs
Global Item Product Family ID,JDE/ Sub ERP,Yes,The highest item categorization (on a global scale). We currently have 6 PFs
Global Item Product Use Description,JDE/ Sub ERP,Yes,"Differentiates whether the item is for Repair, Maintenance, New Installations, or nothing in particular"
Global Item Product Use ID,JDE/ Sub ERP,Yes,"Differentiates whether the item is for Repair, Maintenance, New Installations, or nothing in particular"
Global Item Source Type Description,JDE/ Sub ERP,Yes,"Differentiates whether the item was contract manufactured, manufactured, or purchased"
Global Item Source Type ID,JDE/ Sub ERP,Yes,"Differentiates whether the item was contract manufactured, manufactured, or purchased"
Global Item Super Category Description,JDE/ Sub ERP,Yes,The middle item categorization (on a global scale)
Global Item Super Category ID,JDE/ Sub ERP,Yes,The middle item categorization (on a global scale)
Global Reporting Region Level 0 Description,JDE/ Sub ERP,Yes,The State/Providence of the sale (if in US/CAN) or the country; Listed as Country-State or Country-Country
Global Reporting Region Level 0 ID,JDE/ Sub ERP,Yes,The State/Providence of the sale (if in US/CAN) or the country; Listed as Country-State or Country-Country
Global Reporting Region Level 1 Description,JDE/ Sub ERP,Yes,The Country of the sale
Global Reporting Region Level 1 ID,JDE/ Sub ERP,Yes,The Country of the sale
Global Reporting Region Level 2 Description,JDE/ Sub ERP,Yes,The Country of the sale
Global Reporting Region Level 2 ID,JDE/ Sub ERP,Yes,The Country of the sale
Global Reporting Region Level 3 ID,JDE/ Sub ERP,Yes,"Designated whether the sale was in NA-US, NA-CAN, NA-MX or everything else"
Hold Orders ID,JDE/ Sub ERP,No,A flag for hold orders
Invoice Date,JDE/ Sub ERP,Yes,Date of the invoice generation (should match the GL Date)
Invoice Number,JDE/ Sub ERP,Yes,"The invoice number, as generated in the ERP"
Invoice Type,JDE/ Sub ERP,No,The type of invoice. RI = Regular invoice RM = Return/credit
Item,JDE/ Sub ERP,Yes,Friendly item number
Item Description,Catsy,Yes,The item primary description
Item Description 2,Catsy,No,The item secondary description
Item Description 3,Catsy,No,The item tertiary description
Item Rank,Catsy,No,"The commercially designated rank for the item, in terms of importance to the business… see right"
Item Unit of Measure,Catsy,No,The unit of measure that the item is sold in
Line Number,JDE/ Sub ERP,Yes,The line number on the order
Line Type,JDE/ Sub ERP,No,The type of line
Local Category At Time of Invoice ID,Catsy,Yes,The category the BU self designated prior to acquisition. As it was coded at time of invoicing
Local Category At Time of Invoice Name,Catsy,Yes,The category the BU self designated prior to acquisition. As it was coded at time of invoicing
Local Category Currently Used ID,Catsy,Yes,The category the BU self designated prior to acquisition. As it would be coded today
Local Category Currently Used Name,Catsy,Yes,The category the BU self designated prior to acquisition. As it would be coded today
Mode of Transportation ID,JDE/ Sub ERP,No,"The method of transportation for the order. TL, LTL, Ground, etc."
Morris Branch,Sage,Morris,A field used by Morris
Morris Branch Name,Sage,Morris,A field used by Morris
Order Date,JDE/ Sub ERP,Yes,The day the order was placed by the customer
Order Entered by ID,JDE/ Sub ERP,No,The associate who entered the order
Order Entered by Name,JDE/ Sub ERP,No,The associate who entered the order
Order Number,JDE/ Sub ERP,Yes,The ERP generated number for the order
Order Type,JDE/ Sub ERP,No,The type of order… See example to the right
Ownership,Only in Tableau,Yes,Ownership as defined by global Icebox Holdings Co. and when the acquisition was purchased
Parent Name (Clean),Only in Tableau,Yes,The cleanest groupings of our customers. Only exists in Tableau
Payment Terms ID,JDE/ Sub ERP,No,The default payment terms for the customer
Promised Shipment date,JDE/ Sub ERP,No,When the shipment was originally promised to the customer
Reason Code ID,JDE/ Sub ERP,No,The designated flag for an order entry code. Can be used for promotions or other identifier
Reference,JDE/ Sub ERP,Yes,"A subfield generated that depends on the subsidiary. Could be the customer PO, name, or something else"
Reference 2,JDE/ Sub ERP,Yes,"A subfield generated that depends on the subsidiary. Could be the customer PO, name, or something else"
Requested Date,JDE/ Sub ERP,No,The date the customer requested the shipment
Ship Date,JDE/ Sub ERP,Yes,The date the line was shipped
Ship To Address 1,Oro,Yes,The DEFAULT mailing address for the ship-to account
Ship To Address 2,Oro,Yes,The DEFAULT mailing address for the ship-to account
Ship To Buying Group ID,Oro,No,The DEFAULT buying group the ship-to is a part of. Used in pricing calculations
Ship To Buying Group Name,Oro,No,The DEFAULT buying group the ship-to is a part of. Used in pricing calculations
Ship To City,Oro,Yes,The DEFAULT city for the ship-to account
Ship To Country ID,Oro,Yes,The DEFAULT country for the ship-to account
Ship To Country Name,Oro,Yes,The DEFAULT country for the ship-to account
Ship To Customer Type ID,Oro,No,The DEFAULT customer type group the ship-to is a part of. Used in pricing calculations
Ship To Customer Type Name,Oro,No,The DEFAULT customer type group the ship-to is a part of. Used in pricing calculations
Ship To Name,Oro,Yes,The DEFAULT name for the ship-to account
Ship to Number,JDE/ Sub ERP,Yes,The JDE/ Sub ERP number for this billing address
Ship To Postal Code,Oro,Yes,The DEFAULT postal code for the ship-to account
Ship to Region At Time of Invoice ID,Oro,No,The DEFAULT sales geographic region as it was assigned at time of invoice
Ship To Region At Time of Invoice Name,Oro,No,The DEFAULT sales geographic region as it was assigned at time of invoice
Ship to Region Currently Used ID,Oro,No,The DEFAULT sales geographic region as it would be currently assigned today
Ship To Region Currently Used Name,Oro,No,The DEFAULT sales geographic region as it would be currently assigned today
Ship To State ID,Oro,Yes,The DEFAULT state for the ship-to account
Ship To State Name,Oro,Yes,The DEFAULT state for the ship-to account
Shipment Number,JDE/ Sub ERP,Yes,The ERP generated number for the shipment
Status Code Last,JDE/ Sub ERP,No,The last code that was designated for the line in terms of order processing from order placement to invoice
Status Code Next,JDE/ Sub ERP,No,The next code that was designated for the line in terms of order processing from order placement to invoice
Stop Code ID,JDE/ Sub ERP,No,The designated flag for an order entry code. Can be used for promotions or other identifier
Subsidiary ID,JDE/ Sub ERP,Yes,The subsidiary that owns the transaction. Where the revenue will be recognized
Subsidiary Name,JDE/ Sub ERP,Yes,The subsidiary that owns the transaction. Where the revenue will be recognized
Supplier ID,JDE/ Sub ERP,No,The default supplier for the product
Supplier Name,JDE/ Sub ERP,No,The default supplier for the product
Zone Number,JDE/ Sub ERP,No,"A designation for special shipment locations. Export, dropship, etc."
